TrigReport ---------- Event  Summary ------------
TrigReport Events total = 243 passed = 192 failed = 51

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#        Run     Passed     Failed      Error Name
TrigReport     1    1        243        243          0          0 patJetsAK5CaloPt50Eta25ID
TrigReport     1    1        243        243          0          0 patJetsAK5PFPt30
TrigReport     1    1        243        243          0          0 patJetsAK5PFPt30ID
TrigReport     1    1        243        243          0          0 patJetsAK5PFPt50Eta25
TrigReport     1    1        243        243          0          0 patJetsAK5PFPt50Eta25ID
TrigReport     1    1        243        243          0          0 htCalo
TrigReport     1    1        243        243          0          0 htPF
TrigReport     1    1        243        243          0          0 mhtCalo
TrigReport     1    1        243        243          0          0 mhtPF
TrigReport     1    1        243        241          2          0 HBHENoiseFilter
TrigReport     1    1        241        241          0          0 noscraping
TrigReport     1    1        241        241          0          0 goodVertices
TrigReport     1    1        241        238          3          0 pfJetOverIDFilter
TrigReport     1    1        238        238          0          0 pfOverCleaningFilter
TrigReport     1    1        238        191         47          0 countJetsAK5PFPt50Eta25ID
TrigReport     1    1        191        191          0          0 htPFFilter
TrigReport     1    1        191        188          3          0 greedyMuons
TrigReport     1    1        188        164         24          0 inconsistentMuons
TrigReport     1    1        164         83         81          0 EcalAnomalousEventFilter
TrigReport     1    1         83         83          0          0 finalCounter

TrigReport ------ Modules in End-Path: outpath ------------
TrigReport  Trig Bit#    Visited     Passed     Failed      Error Name
TrigReport     0    0        243        243          0          0 out
TrigReport     0    0        243        243          0          0 MEtoEDMConverter

TrigReport ---------- Module Summary ------------
TrigReport    Visited        Run     Passed     Failed      Error Name
TrigReport        486        243        243          0          0 simpleEleId95relIso
TrigReport        486        243        243          0          0 simpleEleId90relIso
TrigReport        486        243        243          0          0 simpleEleId85relIso
TrigReport        486        243        243          0          0 simpleEleId80relIso
TrigReport        486        243        243          0          0 simpleEleId70relIso
TrigReport        486        243        243          0          0 simpleEleId60relIso
TrigReport        486        243        243          0          0 simpleEleId95cIso
TrigReport        486        243        243          0          0 simpleEleId90cIso
TrigReport        486        243        243          0          0 simpleEleId85cIso
TrigReport        486        243        243          0          0 simpleEleId80cIso
TrigReport        486        243        243          0          0 simpleEleId70cIso
TrigReport        486        243        243          0          0 simpleEleId60cIso
TrigReport        486        243        243          0          0 patElectrons
TrigReport        486        243        243          0          0 patMuons
TrigReport        486        243        243          0          0 pfPileUp
TrigReport        486        243        243          0          0 pfNoPileUp
TrigReport        486        243        243          0          0 pfAllNeutralHadrons
TrigReport        486        243        243          0          0 pfAllChargedHadrons
TrigReport        486        243        243          0          0 pfAllPhotons
TrigReport        486        243        243          0          0 tauIsoDepositPFCandidates
TrigReport        486        243        243          0          0 tauIsoDepositPFChargedHadrons
TrigReport        486        243        243          0          0 tauIsoDepositPFNeutralHadrons
TrigReport        486        243        243          0          0 tauIsoDepositPFGammas
TrigReport        486        243        243          0          0 shrinkingConePFTauDecayModeProducer
TrigReport        486        243        243          0          0 patTaus
TrigReport        486        243        243          0          0 patPhotons
TrigReport        486        243        243          0          0 patJetCorrFactors
TrigReport        486        243        243          0          0 patJetCorrFactorsAK5PF
TrigReport        486        243        243          0          0 patJetCorrFactorsAK5Calo
TrigReport        486        243        243          0          0 jetTracksAssociatorAtVertexAK5Calo
TrigReport        486        243        243          0          0 impactParameterTagInfosAK5Calo
TrigReport        486        243        243          0          0 secondaryVertexTagInfosAK5Calo
TrigReport        486        243        243          0          0 softMuonTagInfosAK5Calo
TrigReport        486        243        243          0          0 jetBProbabilityBJetTagsAK5Calo
TrigReport        486        243        243          0          0 jetProbabilityBJetTagsAK5Calo
TrigReport        486        243        243          0          0 trackCountingHighPurBJetTagsAK5Calo
TrigReport        486        243        243          0          0 trackCountingHighEffBJetTagsAK5Calo
TrigReport        486        243        243          0          0 simpleSecondaryVertexHighEffBJetTagsAK5Calo
TrigReport        486        243        243          0          0 simpleSecondaryVertexHighPurBJetTagsAK5Calo
TrigReport        486        243        243          0          0 combinedSecondaryVertexBJetTagsAK5Calo
